Run,Well,plate
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_H1.mzML,H1,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_E17.mzML,E17,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_E18.mzML,E18,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_E19.mzML,E19,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_E20.mzML,E20,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_E21.mzML,E21,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_E22.mzML,E22,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_E23.mzML,E23,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_E24.mzML,E24,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F1.mzML,F1,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F2.mzML,F2,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F3.mzML,F3,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F4.mzML,F4,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F5.mzML,F5,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F6.mzML,F6,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F7.mzML,F7,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F8.mzML,F8,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F9.mzML,F9,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F10.mzML,F10,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F11.mzML,F11,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F12.mzML,F12,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F13.mzML,F13,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F14.mzML,F14,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F15.mzML,F15,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F16.mzML,F16,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F17.mzML,F17,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F18.mzML,F18,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F19.mzML,F19,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F21.mzML,F21,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F22.mzML,F22,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F23.mzML,F23,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_F24.mzML,F24,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_G1.mzML,G1,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_G17.mzML,G17,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_G18.mzML,G18,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_G19.mzML,G19,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_G20.mzML,G20,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_G21.mzML,G21,1
/Volumes/Lab/KMD/Data/MouseDataJMod/MousePlate1Slide2/mouse_plate1_G22.mzML,G22,1
